accession name	SRR	SAM	SRX	Systematic Name	Origin	Skin hairiness	Fruit shape	Fruit flesh color	Flesh adhesion	Flesh firmness	Flesh taste	Flower type	Flower Shape	Fruit SSC (%)		Fruit weight (g)		Leaves gland	Growth habit	Internode 	Fruit development	Plant growth	Chilling requirements
																				length (cm)	period (days)	 period (days)	 (hours)
Yumyeong	SRR502994	SAMN01000707	SRX150253	P. persica (L.) Batsch.	Yamato-Wase x Nunome-Wase	Peach	Round	White	Clingstone	Non-melting	Sub-Acid	-	Showy	-	-	-	-	Reniform	-	-	-	-	-
Zao Huang Pan Tao	SRR1994383	SAMN03566843	SRX1007924	P. persica (L.) Batsch.	Shanghai, China	Peach	Flat	Yellow	Freestone	Melting	Acid	Single	Showy	-	11	116,7	88	Reniform	Common	2,58	84	266	800
Zao Shang Hai Shui Mi	SRR830507	SAMN02048722	SRX268317	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	10	-	90,2	-	-	-	-	-	-
Zao Shu Xia Ye Tao	SRR1994358	SAMN03566818	SRX1007899	P. persica (L.) Batsch.	Improved variety from mutation, Henan, China	-	-	-	-	-	-	Single	-	-	-	-	-	-	-	-	-	-	-
Zhao Shu Huang Gan	SRR830505	SAMN02048720	SRX268315	P. persica (L.) Batsch.	Gansu, China	Peach	Round	Yellow	Clingstone	Non-melting	Acid	Single	Showy	-	10,3	-	143,5	Reniform	Common	2,48	116	266	700
Zhong Hua Shou Tao	SRR1994353	SAMN03566813	SRX1007894	P. persica (L.) Batsch.	Shandong, China	Peach	Round	White	Clingstone	Melting	Sub-acid	Single	Showy	-	17,5	-	260	Reniform	Common	2,12	190	256	950
Zhong You Pan Tao 2	SRR1994381	SAMN03566841	SRX1007922	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Flat	Yellow	Clingstone	Melting	Sub-acid	-	Non-showy	18	-	80	83,5	-	-	-	-	-	-
Zhong You Pan Tao 4	SRR1994382	SAMN03566842	SRX1007923	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Flat	Yellow	Clingstone	Non-melting	Sub-acid	Single	Non-showy	18	-	120	-	-	-	-	-	-	-
Zhong You Tao 4	SRR1994354	SAMN03566814	SRX1007895	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Round	Yellow	Clingstone	Melting	Sub-acid	Single	Non-showy	-	11	-	150	-	-	-	-	-	-
Zhong You Tao 4 Zao Shu Ya Bian	SRR1994355	SAMN03566815	SRX1007896	P. persica (L.) Batsch.	Improved variety from mutation, Anhui, China	Nectarine	Round	Yellow	-	Melting	Sub-acid	Single	Non-showy	-	11	-	150	-	-	-	-	-	-
Zhong You Tao 5	SRR1994372	SAMN03566832	SRX1007913	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Non-showy	-	8	110,1	150	-	-	-	-	-	-
Zhong You Tao 5 Zao Shu Ya Bian	SRR1994364	SAMN03566824	SRX1007905	P. persica (L.) Batsch.	Improved variety from mutation, Guangxi, China	Nectarine	Round	White	-	Melting	Sub-acid	Single	Non-showy	10	-	133	125,1	-	-	-	-	-	-
Zhong You Tao 9	SRR1994389	SAMN03566849	SRX1007930	P. persica (L.) Batsch.	Improved variety from crosses, Henan, China	Nectarine	Round	White	Clingstone	Melting	Sub-acid	Single	Non-showy	10	-	143,1	161	-	-	-	-	-	-
Zhong You Tao 9 Hei Xian Bai Rou Ya Bian	SRR1994356	SAMN03566816	SRX1007897	P. persica (L.) Batsch.	Improved variety from mutation, Anhui, China	Nectarine	Round	White	-	Melting	Sub-acid	Single	Non-showy	-	15	-	216	-	-	-	-	-	-
Zhong You Tao 9 Huang Rou Ya Bian	SRR1994368	SAMN03566828	SRX1007909	P. persica (L.) Batsch.	Improved variety from mutation, Anhui, China	Nectarine	Round	Yellow	-	Melting	Sub-acid	Single	Non-showy	-	10	-	161	-	-	-	-	-	-
Zhong You Tao 9 Wang Shu Ya Bian	SRR1994359	SAMN03566819	SRX1007900	P. persica (L.) Batsch.	Improved variety from mutation, Anhui, China	Nectarine	Round	White	-	Melting	Sub-acid	Single	Non-showy	-	10	-	161	-	-	-	-	-	-
Zhu Fen Chui Zhi	SRR830561	SAMN02048776	SRX268371	P. persica (L.) Batsch.	Hebei, China	Peach	Round	White	Clingstone	Melting	Acid	Double	Showy	-	10	-	16	Reniform	Willow	2,01	169	256	1050
Related species																							
Nonpareil	SRR1994365	SAMN03566825	SRX1007906	P. communis (L.) Fritsch.	Wild, USA	Peach	Round	-	Freestone	Melting	-	-	Showy	-	-	-	-	-	-	-	-	-	-
Bai Hua Shan Tao	SRR830511	SAMN02048726	SRX268321	P. davidiana (Carr.) Franch.	China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11	-	11	Globose	Common	2,65	129	265	400
Cl. P1908	SRR502982	SAMN01000695	SRX150227	P. davidiana (Carr.) Franch.	Wild, China	Peach	Round	-	-	-	-	-	-	7,4	-	15,2	-	-	-	-	-	-	-
Hong Hua Shan Tao	SRR830501	SAMN02048716	SRX268311	P. davidiana (Carr.) Franch.	Liaoning, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11	-	10,8	Globose	Common	2,22	125	280	400
Zhou Xing Shan Tao	SRR830512	SAMN02048727	SRX268322	P. davidiana (Carr.) Franch.	China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	10	-	8,15	Globose	Broomy	2,56	129	280	400
Shan Gan Shan Tao	SRR830503	SAMN02048718	SRX268313	P. davidiana var. potaninii Rehd.	Shanxi, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11	-	8	Globose	Common	1,93	153	255	400
Ka Shi 1	SRR830518	SAMN02048733	SRX268328	P. ferganensis Kost.et Riab.	Xinjiang, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	15	-	102	Reniform	Common	2,15	158	268	750
Prunus ferganensis	SRR502998	SAMN01000694	SRX150232	P. ferganensis Kost.et Riab.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	SRR502999		SRX150233																				
Tian Ren Tao	SRR830502	SAMN02048717	SRX268312	P. ferganensis Kost.et Riab.	Gansu, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	16	-	48	Reniform	Common	2,33	149	268	750
Xin Jiang Huang Rou	SRR830514	SAMN02048729	SRX268324	P. ferganensis Kost.et Riab.	Xinjiang, China	Peach	Round	Yellow	Freestone	Melting	Acid	Single	Showy	-	11,5	-	124	Reniform	Common	2,19	158	273	700
Xin Jiang Pan Tao 1	SRR830519	SAMN02048734	SRX268329	P. ferganensis Kost.et Riab.	Gansu, China	Peach	Flat	White	Freestone	Melting	Acid	Single	Showy	-	13	-	52	Reniform	Common	2,19	157	263	950
Bai Gen Gan Su Tao	SRR830513	SAMN02048728	SRX268323	P. kansuensis Rehd.	Gansu, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	13,5	-	16	Eglandular	Common	1,67	154	278	400
Hong Gen Gan Su Tao	SRR830499	SAMN02048714	SRX268309	P. kansuensis Rehd.	Gansu, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11	-	12,9	Eglandular	Common	1,67	154	278	400
Prunus kansuensis	SRR502984	SAMN01000696	SRX150255	P. kansuensis Rehd.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Guang He Tao A Ba	SRR830500	SAMN02048715	SRX268310	P. mira Koehne 	Sichuan, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	10	-	9,6	Globose	Common	-	137	-	650
Guang He Tao Ri Ka Ze	SRR830516	SAMN02048731	SRX268326	P. mira Koehne 	Tibet, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	10	-	20	Globose	Common	-	148	-	650
GZ-1	SRR3237746	SAMN04492156	SRX1641961	P. mira Koehne 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Hong Round Guang He Tao	SRR830515	SAMN02048730	SRX268325	P. mira Koehne 	Tibet, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	10	-	30	Globose	Common	-	148	-	650
Xi Kang Bian Tao 1	SRR1994369	SAMN03566829	SRX1007910	P. tangutica (L.) Batal.	Wild, Sichuan, China	Peach	Round	White	Freestone	Melting	-	-	Showy	-	-	-	5	-	-	-	-	-	-
Bai Hua Shan Bi Tao	SRR830517	SAMN02048732	SRX268327	P. persica (L.) Batsch. var. duplex Rehd	Beijing, China	Peach	Round	White	-	-	-	Double	Showy	-	-	-	-	Reniform	Common	2,2	-	-	400
